customerID,tenure,Contract,InternetService,MonthlyCharges,TotalCharges,Churn,Cluster,Churn_Probability,Risk_Level,Segment_Churn_Rate,Priority,Retention_Recommendation
9497-QCMMS,1,Month-to-month,Fiber optic,93.55,93.55,1,1,85.64,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide onboarding and early-stage support | Provide personalized value-based offers | Review service quality and customer satisfaction
5178-LMXOP,1,Month-to-month,Fiber optic,95.1,95.1,1,1,85.55,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide onboarding and early-stage support | Provide personalized value-based offers | Review service quality and customer satisfaction
9300-AGZNL,1,Month-to-month,Fiber optic,94.0,94.0,1,1,85.53,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide onboarding and early-stage support | Provide personalized value-based offers | Review service quality and customer satisfaction
4424-TKOPW,2,Month-to-month,Fiber optic,93.85,196.75,1,1,85.23,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide onboarding and early-stage support | Provide personalized value-based offers | Review service quality and customer satisfaction
2720-WGKHP,2,Month-to-month,Fiber optic,94.0,181.7,1,1,85.15,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide onboarding and early-stage support | Provide personalized value-based offers | Review service quality and customer satisfaction
5567-WSELE,3,Month-to-month,Fiber optic,94.6,279.55,1,1,84.92,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide onboarding and early-stage support | Provide personalized value-based offers | Review service quality and customer satisfaction
7024-OHCCK,2,Month-to-month,Fiber optic,93.85,170.85,1,1,84.88,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide onboarding and early-stage support | Provide personalized value-based offers | Review service quality and customer satisfaction
5150-ITWWB,3,Month-to-month,Fiber optic,94.85,335.75,0,1,84.74,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide onboarding and early-stage support | Provide personalized value-based offers | Review service quality and customer satisfaction
7216-EWTRS,1,Month-to-month,Fiber optic,100.8,100.8,1,1,84.58,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide onboarding and early-stage support | Provide personalized value-based offers | Review service quality and customer satisfaction
1374-DMZUI,4,Month-to-month,Fiber optic,94.3,424.45,1,1,84.19,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide onboarding and early-stage support | Provide personalized value-based offers | Review service quality and customer satisfaction
8098-LLAZX,4,Month-to-month,Fiber optic,95.45,396.1,1,1,83.8,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide onboarding and early-stage support | Provide personalized value-based offers | Review service quality and customer satisfaction
8149-RSOUN,1,Month-to-month,Fiber optic,93.85,93.85,1,1,83.36,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide onboarding and early-stage support | Provide personalized value-based offers | Review service quality and customer satisfaction
0295-PPHDO,1,Month-to-month,Fiber optic,95.45,95.45,1,1,83.23,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide onboarding and early-stage support | Provide personalized value-based offers | Review service quality and customer satisfaction
4910-GMJOT,1,Month-to-month,Fiber optic,94.6,94.6,1,1,83.16,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide onboarding and early-stage support | Provide personalized value-based offers | Review service quality and customer satisfaction
6861-XWTWQ,7,Month-to-month,Fiber optic,99.25,665.45,1,1,82.91,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide onboarding and early-stage support | Provide personalized value-based offers | Review service quality and customer satisfaction
7851-WZEKY,2,Month-to-month,Fiber optic,95.15,196.9,1,1,82.62,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide onboarding and early-stage support | Provide personalized value-based offers | Review service quality and customer satisfaction
3049-SOLAY,3,Month-to-month,Fiber optic,95.2,292.85,1,1,82.51,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide onboarding and early-stage support | Provide personalized value-based offers | Review service quality and customer satisfaction
5419-JPRRN,1,Month-to-month,Fiber optic,101.45,101.45,1,1,82.37,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide onboarding and early-stage support | Provide personalized value-based offers | Review service quality and customer satisfaction
3158-MOERK,2,Month-to-month,Fiber optic,96.0,174.8,1,1,82.3,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide onboarding and early-stage support | Provide personalized value-based offers | Review service quality and customer satisfaction
4826-XTSOH,1,Month-to-month,Fiber optic,86.05,86.05,1,1,82.26,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide onboarding and early-stage support | Provide personalized value-based offers | Review service quality and customer satisfaction
8884-ADFVN,7,Month-to-month,Fiber optic,101.95,700.85,1,1,82.26,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide onboarding and early-stage support | Provide personalized value-based offers | Review service quality and customer satisfaction
3068-OMWZA,1,Month-to-month,Fiber optic,88.8,88.8,1,1,81.98,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide onboarding and early-stage support | Provide personalized value-based offers | Review service quality and customer satisfaction
4822-RVYBB,8,Month-to-month,Fiber optic,100.6,819.4,1,1,81.97,High Risk,44.03,Medium Priority,Immediate proactive retention contact | Offer suitable long-term contract incentives | Provide onboarding and early-stage support | Provide personalized value-based offers | Review service quality and customer satisfaction
